rank,truck_id,truck_score_100
138,TRK00068,59.292206106987464
139,TRK00090,59.28064567844215
140,TRK00031,59.242981085174485
141,TRK00054,59.16866588736859
142,TRK00049,59.005949996347105
143,TRK00073,58.98653942668466
144,TRK00080,58.823166366703404
145,TRK00044,58.66876489822612
146,TRK00004,58.59510918140223
147,TRK00082,58.53587353751235
148,TRK00012,58.51830099498307
149,TRK00103,58.343480472544904
150,TRK00078,58.32470921744437
151,TRK00110,58.244078069879215
152,TRK00023,58.1769799849983
153,TRK00111,58.17554567113316
154,TRK00035,58.17501792974452
155,TRK00084,58.14720619248441
156,TRK00084,58.00290808039391
157,TRK00054,57.969267275948134
158,TRK00076,57.73106745926305
159,TRK00038,57.679438696521665
160,TRK00007,57.37236786282304
161,TRK00086,57.34357776249534
162,TRK00041,57.34069637034898
163,TRK00105,57.30319530335296
164,TRK00020,57.1876156898871
165,TRK00043,57.086738474657984
166,TRK00106,56.8912379108456
167,TRK00015,56.87080416282191
168,TRK00025,56.57226485873254
169,TRK00090,56.480649134831836
170,TRK00108,56.47949319791383
171,TRK00002,56.474636450616956
172,TRK00004,56.11223938634324
173,TRK00093,55.89976059922197
174,TRK00025,55.482848301111986
175,TRK00063,55.38754217403361
176,TRK00040,55.26664697185735
177,TRK00115,54.87221926176393
178,TRK00038,54.83082351289481
179,TRK00116,54.82994978850072
180,TRK00095,54.61943575819207
181,TRK00065,54.54418585201256
182,TRK00033,54.476518262301845
183,TRK00070,53.95352692507672
184,TRK00051,53.829620634735456
185,TRK00120,53.75053848702542
186,TRK00078,53.47418481170347
187,TRK00010,53.44995362615984
188,TRK00055,53.25704351065268
189,TRK00069,53.19060581323028
190,TRK00115,52.994928164616326
191,TRK00062,52.883252634626
192,TRK00030,52.876161918472754
193,TRK00099,52.746432549373765
194,TRK00085,52.7228087677153
195,TRK00103,52.335446312146196
196,TRK00112,52.31445396940201
197,TRK00057,52.263614911609416
198,TRK00039,52.105624197072686
199,TRK00002,51.95547131865541
200,TRK00020,51.86925759942237
201,TRK00079,51.84073344598175
202,TRK00008,51.53172149830907
203,TRK00060,51.52970161271576
204,TRK00008,51.43626342217451
205,TRK00105,51.37994704514317
206,TRK00092,51.22825996257141
207,TRK00097,50.82566126970776
208,TRK00099,50.67239684758026
209,TRK00071,50.01906222861099
210,TRK00073,49.82727212418725
211,TRK00115,49.68757032024872
212,TRK00026,49.616095634818095
213,TRK00084,49.580204923755936
214,TRK00024,49.32971527078418
215,TRK00051,49.265217594554365
216,TRK00006,49.25360720743201
217,TRK00041,49.21620055553967
218,TRK00096,48.655751230437325
219,TRK00060,48.54843405992025
220,TRK00050,48.507092402394505
221,TRK00016,48.499102654402826
222,TRK00106,48.479835493964025
223,TRK00098,48.182006553785136
224,TRK00033,48.159832524597924
225,TRK00110,47.980481731366964
226,TRK00080,47.89570750788001
227,TRK00112,47.67379725937765
228,TRK00013,47.542554801502845
229,TRK00044,47.22598150543813
230,TRK00078,47.043866697684486
231,TRK00015,46.99083153565793
232,TRK00033,46.793894811309926
233,TRK00106,46.651483215165456
234,TRK00072,46.354024797158246
235,TRK00070,46.32588396882768
236,TRK00053,46.292260996567876
237,TRK00091,46.23910265545943
238,TRK00103,45.60700563971359
239,TRK00045,45.416091661051745
240,TRK00092,45.1866696533193
241,TRK00013,44.79498769189584
242,TRK00062,44.132826850249664
243,TRK00029,43.789421235982054
244,TRK00059,43.65906954643121
245,TRK00114,43.37499214638333
246,TRK00013,43.21531747959773
247,TRK00020,43.05725374665039
248,TRK00055,42.79279048763559
249,TRK00030,42.6470390390895
250,TRK00067,42.477964296799556
251,TRK00001,42.393682742208966
252,TRK00049,42.0405325003742
253,TRK00113,41.974392009306335
254,TRK00048,41.85717544785134
255,TRK00092,41.26293087117549
256,TRK00001,40.73137824457134
257,TRK00061,40.575723334739024
258,TRK00108,40.23872065710303
259,TRK00073,40.0970390810469
260,TRK00045,40.086746156224166
261,TRK00090,39.95901123021825
262,TRK00113,39.813937048305824
263,TRK00082,39.80106753716548
264,TRK00040,39.14792823558862
265,TRK00002,38.471076346051284
266,TRK00011,38.04616837570375
267,TRK00072,37.86988579075746
268,TRK00014,37.56742585201254
269,TRK00111,37.160113219187174
270,TRK00065,36.25090967878996
271,TRK00039,35.51426800316816
272,TRK00079,34.3740138436541
273,TRK00026,33.46648984255336
274,TRK00074,32.52946907239205
275,TRK00055,29.232666170022213
276,TRK00063,26.904707860903308
