truck_id,rev_2022,rev_2023,rev_2024,yoy_2022_2023,yoy_2023_2024,cagr_2022_2024,trend_label
TRK00036,850011.15,835234.55,896043.89,-1.74,7.28,2.67,Strong Upward
TRK00038,897490.4400000001,928639.15,925308.15,3.47,-0.36,1.54,Stable
TRK00039,972500.74,896244.01,1035539.14,-7.84,15.54,3.19,Strong Upward
TRK00040,921300.19,790499.39,842001.1,-14.2,6.52,-4.4,Strong Upward
TRK00041,1117804.05,891450.21,1008066.73,-20.25,13.08,-5.04,Strong Upward
TRK00043,985771.17,944141.0,914278.63,-4.22,-3.16,-3.69,Stable
TRK00044,1057429.2,910170.42,1078107.95,-13.93,18.45,0.97,Strong Upward
TRK00045,831756.21,930267.97,892161.28,11.84,-4.1,3.57,Upward
TRK00048,969171.65,956124.62,989944.85,-1.35,3.54,1.07,Stable
TRK00049,1024400.12,843689.98,833346.24,-17.64,-1.23,-9.81,Volatile
TRK00050,1052294.99,929659.61,925732.02,-11.65,-0.42,-6.21,Volatile
TRK00051,977884.88,940271.3,877026.47,-3.85,-6.73,-5.3,Declining
TRK00052,884362.49,852785.05,979027.63,-3.57,14.8,5.22,Strong Upward
TRK00053,977946.02,1020032.07,992291.29,4.3,-2.72,0.73,Stable
TRK00054,1071917.83,891999.9,905020.02,-16.78,1.46,-8.11,Volatile
TRK00055,925254.02,1036666.27,1035204.15,12.04,-0.14,5.77,Upward
TRK00057,1015098.74,1053386.92,865134.46,3.77,-17.87,-7.68,Declining
TRK00058,998191.3,864570.28,947150.02,-13.39,9.55,-2.59,Strong Upward
TRK00059,878369.9,797163.52,919946.35,-9.25,15.4,2.34,Strong Upward
TRK00060,923885.71,915620.43,757301.47,-0.89,-17.29,-9.46,Declining
TRK00061,824420.51,900173.86,981077.28,9.19,8.99,9.09,Strong Upward
TRK00062,969298.55,846987.34,925653.27,-12.62,9.29,-2.28,Strong Upward
TRK00063,762268.62,1015348.85,848156.3,33.2,-16.47,5.48,Declining
TRK00064,935371.78,897338.12,958918.69,-4.07,6.86,1.25,Strong Upward
TRK00065,816060.32,968685.32,1013734.49,18.7,4.65,11.46,Upward
TRK00067,963780.27,954911.84,929177.69,-0.92,-2.69,-1.81,Stable
TRK00068,919308.45,926374.43,948528.91,0.77,2.39,1.58,Stable
TRK00069,984478.73,941218.81,917720.2,-4.39,-2.5,-3.45,Stable
TRK00070,949028.16,1019511.25,831577.57,7.43,-18.43,-6.39,Declining
TRK00071,914540.48,932768.9,894622.62,1.99,-4.09,-1.09,Stable
TRK00072,882197.19,988907.03,893893.87,12.1,-9.61,0.66,Declining
TRK00073,865110.06,997514.9,1009970.79,15.3,1.25,8.05,Upward
TRK00074,934656.9,904007.77,925122.09,-3.28,2.34,-0.51,Stable
TRK00076,927545.6799999999,885056.4,935135.6699999999,-4.58,5.66,0.41,Strong Upward
TRK00078,844758.3,1000749.27,945864.93,18.47,-5.48,5.82,Declining
TRK00079,900001.61,863832.81,768211.26,-4.02,-11.07,-7.61,Declining
TRK00080,908489.66,864210.3400000001,941600.83,-4.87,8.96,1.81,Strong Upward
TRK00082,919881.3300000001,881082.9600000001,1020668.7,-4.22,15.84,5.34,Strong Upward
TRK00083,991075.0,976071.59,796412.01,-1.51,-18.41,-10.36,Declining
TRK00084,938992.79,907061.67,984940.41,-3.4,8.59,2.42,Strong Upward
TRK00085,915589.49,896647.73,1015411.04,-2.07,13.25,5.31,Strong Upward
TRK00086,941142.52,1066238.17,864046.67,13.29,-18.96,-4.18,Declining
TRK00089,952165.3,945614.67,883199.59,-0.69,-6.6,-3.69,Declining
TRK00090,858427.36,838831.21,992706.28,-2.28,18.34,7.54,Strong Upward
TRK00091,923634.25,965246.12,926306.1,4.51,-4.03,0.14,Stable
TRK00092,872561.87,956893.66,975737.6,9.66,1.97,5.75,Upward
TRK00093,915431.75,1008979.14,823848.37,10.22,-18.35,-5.13,Declining
TRK00095,952680.17,914904.94,907124.37,-3.97,-0.85,-2.42,Stable
TRK00096,950771.25,848369.6,814191.48,-10.77,-4.03,-7.46,Volatile
TRK00097,987462.46,1008953.27,894944.6900000001,2.18,-11.3,-4.8,Declining
TRK00098,955961.17,878416.23,970291.32,-8.11,10.46,0.75,Strong Upward
TRK00099,937026.81,882953.04,958343.2,-5.77,8.54,1.13,Strong Upward
TRK00101,834970.85,890216.57,946623.13,6.62,6.34,6.48,Strong Upward
TRK00103,950400.65,889379.54,836190.47,-6.42,-5.98,-6.2,Declining
TRK00105,952530.69,839150.85,1008184.47,-11.9,20.14,2.88,Strong Upward
TRK00106,955048.32,948329.28,1017998.3300000001,-0.7,7.35,3.24,Strong Upward
TRK00107,999725.31,893006.22,1129342.25,-10.67,26.47,6.29,Strong Upward
TRK00108,801267.56,831555.21,938174.89,3.78,12.82,8.21,Strong Upward
TRK00110,947344.29,924841.49,938656.4,-2.38,1.49,-0.46,Stable
TRK00111,984875.03,978851.0800000001,858448.65,-0.61,-12.3,-6.64,Declining
TRK00112,1044530.35,920730.19,861973.18,-11.85,-6.38,-9.16,Declining
TRK00113,840731.9,967406.0700000001,889187.83,15.07,-8.09,2.84,Declining
TRK00114,845899.01,1040478.76,937196.89,23.0,-9.93,5.26,Declining
TRK00115,928653.35,931099.9299999999,1008417.0599999999,0.26,8.3,4.21,Strong Upward
TRK00116,1081781.29,885613.02,848386.73,-18.13,-4.2,-11.44,Volatile
TRK00120,989671.01,977916.24,859269.6799999999,-1.19,-12.13,-6.82,Declining
